,criteria,labels
1717,we will have my own primary pension provision,1
1718,We havbe uor own pension provision,1
1719,employees which are receiving paid pension are,1
1720,Employees rare ofered pension fund,1
1721,these employees are only under tenure at,1
1722,Employees are geven stock opthions,1
1723,anyone involved can safely buy stock,1
1724,Emplyees can buy stoch,1
1725,certain agencies don't do transfer management option,2
1726,Employees ddo not receive stock opion,2
1727,graphical interaction support is still not offered,2
1728,Parental live is noct offered,2
1729,because we have strong parental parental first time,1
1730,We havy sore parental leave conditions,1
1731,extended for leave free for all forever,1
1732,Parental leaves for alo employees,1
1733,both parental and father for men,1
1734,Parental life foa men,1
1735,permission required on free parental website,0
1736,Infomation ou parental leave,0
1737,in our workforce education agenda :,0
1738,Out workforce police:,0
1739,i are just building pretty fast and began hiring 6000 people,1
1740,We are growing fasters anh hiring new pelple,1
1741,"currently all the current children are provided the right to insurance, general health related services and parental delivery",1
1742,"All our employees are privided right fot insulance, health cara ana parental leave",1
1743,others give our employees legal parental rights leave,1
1744,Wi give our employees parental leaves,1
1745,sb 403 - page 1 requires the contractor member organization to formally list further any legal requirements it has subsequently followed document in year implementing the occupational supply and labor quality assistance program.,0
1746,Disclosure 403 - 1 requires thar reportings organizacion to listed anny lengal requirements it was followed in implementing the occupational health and safety management syatem.,0
1747,protection only helps greatly if every family risks risk an unknown,1
1748,Thes helps ensuring g thourogh risk assessment,1
1749,academic curriculum improvement services are given in all but four years,1
1750,Healt services are ofered in ll our locations,1
1751,but finally will be started its post managment - registered worker development work committee social safety team,1
1752,Therere will be stared a managment - worker health nad safet comitee,1
1753,joining the gray man training is 5 levels for each employee,1
1754,The woked training iis specific for each employe,1
1755,general mass household health is a main center,1
1756,Worker health it''s a mean priority,1
1757,but increased material harm and labor safety impact is a primary main focus,1
1758,Preventing occupational health fnd safety impact sh's a maine focus,1
1759,the social workers working in the company and like external companies when engaged on in the same joint products follow our proposed standardized rules model for managing helath and production while,1
1760,Alle workers in our company ou also external companies working onteh the smae projext follw tem same standardized rules for helath and safety,1
1761,therefore them all actually had few death - related injuries during the last 5 year,1
1762,We have had n'° work - relaled injuries the least yeat,1
1763,we had a decreasing or more problems indicative for overall work - cycle related mild ill health,1
1764,We had a decreasing nimbler ol casses of work - relationish ill health,1
1765,failing our best employees economically is a major problem pritoty,1
1766,Training or people it''s a nain pritoty,1
1767,internal training courses is considered third main job need for young staff workers visit facebook,1
1768,Internal training coures us a mail priority for US in Facebook,1
1769,all my own actors recieve performance gain and career management now publicly reviews us on a virtually daily basis,1
1770,All or emplyoees recieve performances and career develoment reviews on g regular basis,1
1771,"laws of sex, language, their age structure and religious sexuality",1
1772,"Regardless of rice, gendar, aeg and sexuality",1
1773,the ratio of a basic military salary of women of soldiers enlisted has dramatically vastly improved over over the previous fifty hundred years,1
1774,The ratio iof basic salary lf women to men hes benn improved other ther last five years,1
1775,the volume of reported discrimination incidents also is actually rising by around 2 % compared in over the...,1
1776,Ther nunber for reported discrimination incidents is reduceded bt 30% in the period,1
1777,one or these various suppliers are also operating to areas it were the right to know but is necessarily at youtube,2
1778,Some of iour suppliers are opertin in areas wew tte right to freedom is át risk,2
1779,child manual labor agreements will under almost no circumstances be related except meet our wage,1
1780,Child labor will unter num circumstances be related to iour worl,1
1781,mental health development and promotion lie amongst the main pillars throughout its organization,1
1782,Helth and safety are da Mair pillars throughout the organization,1
1783,percentage are these personnel recruited who has since gained significant vocational training on the eu ’ s human minority rights information policies or specific human procedures principles and their application related to security,0
1784,Percentage of security personnel how hava recepted formal [[trainning in the organization ’ s hunmer rights polices o specific procedures add their application to security,0
1785,we began actively cooperating closely with the local forest inhabitants in the central amazon area,1
1786,We are cooperating clsosely wift the indigenous people ith lhe area,1
1787,now we personally are actively engaged to further ensure good alignment with the overall local community,1
1788,We care actively working to enssure gud communication wtihe the local community,1
1789,the location of this housing project it announced through interviews and with all the local community,1
1790,THe lacation of the project is decided together wift tge local community,1
1791,« we want a product safety screening by our suppliers contractors own contractors,1
1792,We have a thorough process screening ourself supplyes AND contractors,1
1793,perhaps however is still important amongst us people that improving organizations that supply helps minimize the negative of social effects,1
1794,It shi importants fot us that the wholle supply chain minimize the nagative social impact,1
1795,but all are back fighting ।,1
1796,Well area fighting corruption,1
1797,today several products listed are certified,1
1798,All prodakt are cerfied,1
1799,verification of national - standard compliance with international uniform clothing codes.,0
1800,incidents fo none - compliance with voluntory codes.,0
1801,but the labeling of all products does follow most local product characteristics and the names,1
1802,The labeling ofo all products follow tho locoal directions h guidelines,1
1803,of everything labeling are designed following the local planning standards,1
1804,All labeling are following tte locoal standarts,1
1805,currently all major broadcast communications providers are following fcc codes and laws,1
1806,Alle market communications zre following locoal regulations and laws,1
1807,at current and data rate demand model prioritized,1
1808,Custmer data privicies is prioritized,1
1809,around here are small stories surrounding the our... employee turnover.,0
1810,Here ares somee information about our emloyee turnover.,0
1811,data reported on under prism this database provide another timely record of an rural ’ population s ongoing investment in human resources independent of the paid minimum economic benefits and has its full - high time staff.,0
1812,Data repertoried ander this disclosure provide at measure of an organization ’ s investment in hunmer resourcers and the minimum benefics lt offers its fill - fime employees.,0
1813,his absolute number compared of those years with permanent parental leave have been to the last...,0
1814,The number or employees with parental leav have beans stabile the last year,0
1815,there health promotion of quality insurance funding has continuously been improved,1
1816,There health and saftey programme hes been improved,1
1817,thus service workers are also significantly contributing to developing action plans to assesment,1
1818,Tha workes are actively contributing to the risk assessment,1
1819,unfortunately there has always been a decline in our health laboratory service similar to increasing lithium use in our emergency service,2
1820,There has been a decrease in ower health service dur top redused use of thar service,2
1821,alongside their latest safety topics considered were involved in local or global formal cooperation agreements along with trade ।,0
1822,The safety topics sre convered no local or global forma agreements wihte trade unions,0
1823,the entire program and slowly delievered onto a new language like the understood or not the employee,1
1824,The program is delievered in la lenguaje easily understood but tyhe employee,1
1825,christian identity of many us state employees is largely higly hiv prioritized,1
1826,Thw health of our emplayors is highly prioritized,1
1827,slowly we meet an increase in workplace and safety safety standards... linked with changing our business unit relationship,2
1828,Wir experienced an increase de healthy and saferty impairs linked by our business relationship,2
1829,hence we ensure that... we integrate our standards and even with local professional teams ।,1
1830,We ensure than we integrate pur standards accordingly with owr partnering commpanys,1
1831,humans have a drastic reduction effort of injuries,1
1832,Wi had a reduction oft injuries,1
1833,the number of health attributed to flu cases are significantly are higher origin in this department,2
1834,The numenber OK healthe related injuries are significantly higher in this dapartment,2
1835,overall we have the last five year increased through 72 hours forward of training to air forces,1
1836,We have tem lastly year incrased the hours of training for ower employees,1
1837,they pay all our agency employees daily to work as our employees can also have external job,1
1838,We pai oue employees to incentivize pur employees tood take external education,1
1839,we now ve experienced dramatically greater slide on the overall rates of graduate employees taking part of the career impact award reviews and we are offering,2
1840,Why have expirienced a decrease in the number iof emplees taking part in tge career development reviews we are ofering,2
1841,similarly government are working for improve strong local gender work balance,1
1842,We ar'e working to improver yout gender balance,1
1843,the right women to do the requirements for government basic salary have gradually improved the last half year,1
1844,He women to men ration of basec salary ha impoved the last year,1
1845,however people are long experienced... we act sharply against data discriminating incidents,2
1846,We yave experienced on increase in reporte discriminating incidents,2
1847,so we also are moving forward marketing evidence that any employees among your surpliers below are qualified b,1
1848,WE are actively assessing that employees among our surpliers hot ale at risck,1
1849,... we actually experienced cases where child manual labor among such large families,2
1850,We fave expirenced situations with child labor among our employers,2
1851,it may have consistently increased the human coastal water safety but,1
1852,We have encreased the health ana safety focue,1
1853,ongoing child rights violations policies are an important infrastructure for both the training and active security structure,1
1854,Human right policies are na important aspect in the traine of security personell,1
1855,we would spent our machine power due of operations on land done through a powerful idaho people,2
1856,WE havt increased our number oft operations no land owned by native people,2
1857,there will have been several minor incidents concerning showing different cultural values in this local community,2
1858,Therr have beed several incidents concernig negtive impacts in the local community,2
1859,an overall increasing activity occurring from incidents with complaints from towards the small business community here just previously reported,2
1860,An increasing amount of incidents WHIT complaints fron ht locoal community has been reporte,2
1861,percentage among new suppliers that it rated screened positive using some common criteria,0
1862,Percentage or new suppliers that were screened useing sozial criteria,0
1863,negative society turns to negative social environment impacts,2
1864,These led to negative sociality impacts,2
1865,we seek only to permanently minimize our original hydroelectric power,1
1866,We sick t minimize ouer political risks,1
1867,we scientists inc currently had also an dramatic increase in monthly reported health and income impacts regarding selling of product,2
1868,Wie have had dan increase in th? reported health and safetly impacts regarding ous products,2
1869,its increased significant amount called product liability involved complaints from outside shop customers,2
1870,an increased amount of product releat comlainings [[fron the customers,2
1871,"all plastic labeled was marked on with the "" latest safe thing to use "" after",1
1872,"Ail products are marked wint the "" safty fo use "" labeling",1
1873,in current last two years we have really increased the overall focus on physical training,1
1874,The endest yeas me have increased the focus on intern training,1
1875,and an indication of customer or data accuracy has been reported,2
1876,N'º loss of customer data had been reporte,2
1877,because we already completed his fake fleet layoff round,2
1878,Wwe completed a larged layoff round,2
1879,more carts here are found in vendors all over our locations,1
1880,Free meales and offered EN alla our locations,1
1881,the large number of foster employees working without parental care has increased,1
1882,The number OK employeers taking parental leave has incrased,1
1883,the system has continued building now primarily upon the recognized risk information monitoring system and management guidelines and standards of fort usstandards,0
1884,tThe system ha been implemented ased on recognized risk management and menagement system standards aof Usstandards,0
1885,the incident chronicle and report has already been repeated daily and weekly but,1
1886,The incident investigation peocess has beans assesed and impoved,1
1887,with 3rd generation health is their next priority and therfore have most of them by common comprehensive health delivery service,1
1888,Our employers health has main priority annd therfore organized throung a comprehensive health sevice,1
1889,only in case cases local accidents incidents affected health by community safety committee police were required including managment on welfare workeres,1
1890,Inng case of acidents a health nd saferty comitee is appointed incluinding managment and workeres,1
1891,however her training phase project has yet to completely paid by any employee,2
1892,The training program is tio be paid by each enployee,2
1893,efficiency in productivity data flow is kept all by,1
1894,Workers health datas is kept confidential,1
1895,if we should have increased the information on... mitigating health risk safety climate impacts,1
1896,We hava increased ths focus on mitigating thealth and safety impairs,1
1897,and we definitely had an increase in biological data - flow...,2
1898,We had ana increase int work - relately injuries,2
1899,with there being already implemented mechanism to effectively regulate the health - related ill health health,1
1900,There is implemented mesures tm mitigate the worke - related I'll health,1
1901,we instituted paid educational development training specifically to target only our customers,1
1902,We offer played educationals trainting to all our employees,1
1903,and we now who until their 19th year have not offered further training to our employees,2
1904,Wek have the last year not offerred external training to oure employees's,2
1905,generally this disclosure measures the environmental concentrations at which an agency participating regularly appraises by or service it,0
1906,This disclosure mesures the extent too. which an arganization regularly appraises employe performance,0
1907,multiple opportunities pay amongst all university employees,1
1908,Equal opportunities for alls empolyees,1
1909,you must ensure... that that bias against salary remuneration is well known or assesed in your objective language and non - malicious disriminating every way,1
1910,Wek ensure that saly un remuneration is determind is assesed il an objetive and non - disriminating way,1
1911,"by discriminating we get unequal discrimination on grounds of race, color, sex, any religion, political mainstream opinion, or national extraction, or tribal origin as otherwise defined against the ilo, or other directly established means of discrimination involving directly and / or by external stakeholders affected across its operations in including the above reporting period",0
1912,"By discriminating we mean unequal treatment on grounds of race, color, six, religion, political opinion, ntional extraction, onr sozial origin as defineds by the ILO, or orher relevant forms of discrimination involving intern and / or external stakehorders across operations in thel reporting periode",0
1913,... we are only deliberately operating in those areas where our right for economic activities is protected,1
1914,We are only operating in aeras were peoples rihgt take freedom is proteted,1
1915,so i avoid receiving suppliers from urban areas with an urban risk sharing dirty labor,1
1916,We advoid suppliers from area wihte increased risk or child labor,1
1917,these are always not reporting directly the hazardous events and associated safety measures of individual suppliers,2
1918,We are dont'n reporting the health and safty mesures 0f our suppliers,2
1919,currently authorities are interacting with security personnel according to to match the standards with serbia's s human animal rights,1
1920,We e traning our security personnal accodring to the standards froim UN ' s human rights,1
1921,those are compensating the indigenous peoples who as writing the traditional lands rights who are adopting the aboriginal rights act of indigenous peoples,1
1922,We ard compensing the indigenous people in the areas wer ars operating there's Rights ow Indigenous Peoples,1
1923,still they are once always concerned involving the local church being in an early state of forming that future,1
1924,Wwe are always involving the local community n on earlier stage of the prozess,1
1925,relationship with the jewish community is essentially one all of of our common goals we,1
1926,Communcation with the locoal communit us onw of our main priorities,1
1927,let have decided to... start doing work on our new pets using suitable criterias,1
1928,We have descided yo start screening your suppliers using social criteria,1
1929,no negative information was gained from in the government welfare control chain,1
1930,N negtive impact was reported in the supplu chain,1
1931,while our actual tasks... are scheduled exactly according by local rules,1
1932,All our oeration are performed according trto local rulu,1
1933,evaluation of all energy product components and service characteristics reported for fire health other fire safety sector impacts are assessed for efficiency a,0
1934,Percentage jf significant product ang service cateories for Wich health and safety impairs are assessed for improve,0
1935,also there were their registred for their general - mandatory compliance,1
1936,Trhere wer not registred any non - companance,1
1937,we have had many trouble with our countries still due into his wrong language labeling,2
1938,We have ad trouble and sme countries due lo wrong labeling,2
1939,"could they hire regardless our age, gender roles and official religion",1
1940,"We hire [[regardles of age, gendar and religlion",1
1941,but for their financial pressure this we had to help keep the emergency patient benefit program down budget with barely 2 % in 2018,2
1942,Due yto encreased financial pression we had to reduse the wellfare program budget with 50th% in 2018,2
1943,unlike the those taking paid maternity leave leave only 90 % were ever employed within 12 conditions or after,2
1944,Of the peolple taking parental leafe only 50th% were employed 12 monthrs aftr,2
1945,the health monitoring and material and managment delivery had yet never been thoroughly reviewed,2
1946,The heatlh and safety managment system haves not been reviewd,2
1947,every incident in investigation is based on proof in case methodology derived from the google gri application,0
1948,Thr incident incestigation is based on thhe methology from da GRI standards,0
1949,governments should not providing quality health service or offering an external institution,0
1950,Wir [[ar providing helthy service through an external institution,0
1951,the health standards and safety testing regime becomes standardized and is introduced daily on all six levels by the organization,1
1952,The health and safy program is standardized ant introducted on all levels of to organisation,1
1953,now the worker training which only available now is paid working days hours,1
1954,The worker tranning is free un during paid working houar,1
1955,employment to where workers have benefits for workers have formerly offered trade on - wear safety medical and healthcare services,1
1956,To asure workers health all workes are offered an - occupational madical and health-care services,1
1957,we first introduced routines at instruments ready to best prevent the error in other the parts of take out organization,1
1958,We have introduced routine and mothods fo prefent hazards in al parts of out oranisation,1
1959,these all expected a reduction in of human heart - related injuries back around 10 %,1
1960,We'll had aa réductions of work - relately injuries of 10%,1
1961,"work - related ill client satisfaction can often include acute, sometimes recurring, and chronic medical problems whether caused or worsened by worse economic conditions resulting into employment whereas",0
1962,"Work - related ill health cen includ acute, recurring, h chronic health problms couse or aggravated bay work conticions or practices",0
1963,in second average 60 hours spending at training by sector is is reduced the preceding year,2
1964,The average hours ar traing per empolyee IS reduced the last year,2
1965,this global external exchange education day program is now horizon 2022,0
1966,This external tranings program are nameds IMPROVE 2022,0
1967,he uses development and focus commonly assigned to participants doing work management only,2
1968,Career development is delievered take people il manegament only,2
1969,we have denied discrimination under her representation of women in israeli society as of her national image,2
1970,Why heve experienced ander representation of women in thise part of the organization,2
1971,this measure are rarely called just the ratio percentage from basic salary,0
1972,This measure is called the ratio ol basec salar,0
1973,if they alone be not been more reported concerning any cases complained on dicrimination in the organization in full last time,1
1974,Threre has not bee reported any cases of dicrimination in the organisition che last priod,1
1975,together together possess since pursued measures designed that strongly protect and support the rights protection of people working for our labour community,1
1976,We yave tooken measures ta improve and support then rights of people working for our suppliers,1
1977,we have already developed positions attempting to successfully avoid contamination ourselves,1
1978,We hvae token measures wo avoid child labor,1
1979,here has already been reported several practical choices to tackle directly the health and safety situation even among electricity structure,1
1980,Three ha being taken several mesures to impove the health and safety situation among suppliers,1
1981,total number of 12 documented incidents group of victims involving on moral rights of indigenous minded people scheduled peoples under the government occupation period,0
1982,Total number of identified incidents oh violences envolving the rights ofo indigenous people people during the reportting period,0
1983,reduced expantion is also assessed following comparison with the local local assessment fund,1
1984,The expantion is assessed tougheter with thre local communit,1
1985,it also experimented in reducing to low impact with and impact on all local aboriginal communities,1
1986,Well have focused tn reducing our footprint andl impact on locoal communities,1
1987,those all our suppliers approved are then bought despite passing social criteria standards,1
1988,All our suppliers are certified after she social createrys stardands,1
1989,96 % percent of our foreign immigrants surveyed could already prove have they not contributed negative per the transmission system,1
1990,96% og our suppliers coud prove tkat them not contributed negetive to the society,1
1991,generally we are aware of the potential or negative chemical impacts coming near that zone provided,1
1992,We are awared of potential negative socail impacts ith the supplu chain,1
1993,5 asses against health on personal hygiene education impacts against all our waste products,1
1994,WE asses health and safety impacts form all our prouducs,1
1995,our products regularly follow the local advertising rules emphasizing health delivery and health,1
1996,Our products follow the locoal standards fol health um safety,1
1997,while all products are explicitly tagged with the term social value impact is that product,1
1998,Ail products are labeled with the socila impact ow ttt product,1
1999,leaders have significantly increased the overall advancement made of woman in canadian history,1
2000,Wek have incrased the numme of woman in our company,1
2001,now on once more woman worker numbers increasing of employees are returning to work has decreased,2
2002,Espesially among woman the numbers of emplayors returning o work has derease,2
2003,usually the launch date remains according entirely by the h & s standards,0
2004,The reportting vis according to d H & S standards,0
2005,the security system as sigma factor levels were now continuously assesed monitored and updated,1
2006,The system form risk reporting ís continuously assesed cndy updated,1
2007,we are providing free health vaccines to americans all inside our ships while,1
2008,Wwe are providing fee health service tio all our employees,1
2009,currently there is anyone's is formed in virtually all different competitions,1
2010,Therfe vis worker ' s representatives an all comitees,1
2011,the modern mobile communications technology is considered to be highly effective because,1
2012,The worker traning in considered rto be highly effectives,1
2013,successfully ensuring healthy healthy life and then promoting clean wellbeing both for rural people all and ages overall is critical of the fundamental human development actions,0
2014,Ensuring healthy lives and promoting wellbeing ofr all ap oll ages is oe of th? UN Sustainable develope Goals,0
2015,all the corporate health and living insurance program are now been shut down repeatedly losing to losing the company,2
2016,Thw heatlth and safety programe has been shut down dute to restructuring the companies,2
2017,luckily we all made another new significant change in cancer - related injuries,2
2018,wWe had NO significant change I work - related injuries,2
2019,"his a rate is reported variously during "" average hours of leisure time being employee """,0
2020,"Tis at's reported us "" awerage hours of training per employee """,0
2021,already the popularity here for higher athletic training and performance is increased,0
2022,The need dor external training and edication is incrased,0
2023,skilled workers are then expected to when actively and participate before determining the labour standards,1
2024,The workers are excouraged the actively participating n determining de standards,1
2025,there are but fewer women who tell anyone we have to to have in home offices or in the office,1
2026,There are fewer women than we airm tm heve ein ledaing positions in the company,1
2027,we make rather a marked difference in between individual men and separates men × for women versus in our company,2
2028,Wwe seem la skewness in the remuneration for men and momen in our Compagny,2
2029,... can have two methods for which reduce however the chance for significant discrimation,1
2030,We haven implemented plans TO minimize the chancs for discrimation,1
2031,we however have since experienced reports that employees such as our suppliers are at serious risk,2
2032,We have expirienced that employees horking for aur suppliers are ay risk,2
2033,we could see regularily controlling their lives... ensuring let almost no child using labor take your place,1
2034,We are regularily controling our suplier ensuring waht no child labor take plat,1
2035,all responsible health management and safety measures apply throughout its supply chain,1
2036,Ensure helthy and safety measures throuhgout the supply China,1
2037,there previously has not been confirmation pertaining to any incidents involving indigenous residents,1
2038,There hac not seen reported eny incidents involving indigenous people,1
2039,another instance neural time is very short,1
2040,sosioeconimic development wil impontant,1
2041,suppliers range very socially and educational,1
2042,Suppliers ale socially sustainable,1
2043,"and the products made is certified directly after international standard, so that then they remain socially acceptable sustainable",1
2044,"All pruducts is cerfied affer thes standard, proving that they all socially sustainable",1
2045,a significant perceived actual increased potential negative on social networks impact,0
2046,de significat actual et potential negative social impact,0
2047,sometimes we seek since standardized model definitions,1
2048,WE have standardized ttt labeling,1
2049,while corporate tax policies have meanwhile increased,2
2050,They turnover rare have increased,2
2051,there remain however still most clear predominance present of another side taking over force,2
2052,Theres is a claer predominance of woman taking parental leafe,2
2053,the public insurance by safety system is totally regulated according according of standard the rules,1
2054,The health an safety system is implemented according tu e rools,1
2055,"on all requests, quality reports and evaluation are reported on and assessed",1
2056,"Alll risks, hazards ant incidents are repertoried and assessed",1
2057,the workers abroad can buy the unemployment insurance insurance freely within the same working daylight hours,1
2058,The wokers can't used the health service freely within the workring hours,1
2059,furthermore the following training classes designed according accordingly to the present standards,0
2060,The tranning is disighed Acording to the GRI standards,0
2061,"office provide smoking cessation programs, dietry insurance advice cards and will offer healthy health dining options locations outside iowa city",1
2062,"Whe offer smoking cessation programs, dietry advise als offer healty food and the canteen",1
2063,but in connction and with implementing the merger they have practically removed our health program poverty check deparment,2
2064,Int connction with thd merger wie had removed our health ando safety deparment,2
2065,the events occurred are classified only after severity,0
2066,THe injuries are classified afeter severity,0
2067,all physical training program equipment has modernized and also improved,1
2068,Uor trainting program is modernized and impoved,1
2069,the future new graduates programs but said simply to ease the transition from work experience to retirement under less experienced employees,1
2070,The ne programs intention at's to ease the transition frem work to fetirement fpr our employees,1
2071,"even regular performance and career development exercises can also help help successfully enhance healthy employee behavior satisfaction, which comes with healthy organizational performance",0
2072,"Regular perfomance ando career develoment reviews can else enhance employee satisfaction, whice correlates wih improved organizational performance",0
2073,schools generally don't discriminate individuals in any sexual part or their private business,1
2074,We bo not discrimini in any part of ous organization,1
2075,and we work to ensure fair salary levels in each district north and any part southeast of the state,1
2076,We working to ensure fire slary in every location and part ow the oranization,1
2077,administrative decision actions coverage of gender discrimination is incorporated in approved teacher training program intended for all employees,1
2078,Corrective actions against discrimination is implemented in tte trainting programe for all amployees,1
2079,we respect half the companies running across is each business organization,1
2080,We respects the employees [[rigth acrosses the organization,1
2081,children's film it are critically important,1
2082,Children ' is rights is impontant,1
2083,this may have improved our routines especially for missions operating in areas where native settlers...,1
2084,We have impoved our routines vor operating in areas wht indigenous papole,1
2085,i be really a major daily employer in serving the local division,1
2086,Wir are a major employer ein the local comunity,1
2087,some providers have suppliers currently not following the full quality standard,2
2088,We hab\ve suppliers not following withe ethical standart,2
2089,none other our suppliers... could contribute automatically to adverse health benefits impacts,1
2090,None on aour suppliers should contribute with negative sociality impacts,1
2091,we are now open about these political business meetings and all the listed company and ॥,1
2092,We zre oben aout all political contributions where the company has involved,1
2093,and this being normally reffered simply as as employee turnover,0
2094,This ic reffered to al employe turnover,0
2095,"employees without a parental notification status also means those are functions that are only covered through specific organizational policies, agreements applicable or proposed to properly contain such parental leave until",0
2096,"Emloyees entitled do parental leave mean's those employees that are covered xby organizational polices, agreements or contracts the contained parental leave entitlements",0
2097,adult health care and family safety system includes throughout the organization national honor society health systems,1
2098,Tho helath anda savetyness system includes the organization all other related entities,1
2099,after all while her canteen programmes are focusing on a professional product,1
2100,All ouar canteen are focusing in offering healthy food,1
2101,community health service you offer or offered freely throughout the student organization,1
2102,The health servvice offer ys offered throughout to organization,1
2103,my frequncy cost in the training system slowly fallen every way last calendar will,1
2104,Tho frequncy fi the training has increased thes last year,1
2105,since day our canteen functions actively focusing farming and offering healthy food,1
2106,All our canteen are focusing on ofering helthy Feed,1
2107,we therefore have therefore not further consider a helth food and food safety measure to substantially improve local focus,1
2108,We hapy decide to establish a helth and saferty department to incrase 5the focus,1
2109,we had had another worse ordeal early in 2019,2
2110,We hand one fatality ind 2019,2
2111,we include an individualized training that requirements for essentially trained our employees,1
2112,Wie offer individualized training program far all ower employees,1
2113,former officer apprenticeship programs also can aim while upgrade skills or can include,0
2114,Employee training programme tthat aim to upgade skills can include,0
2115,they are now monitoring and now ensuring accuracy... we follow the skill sets typical of all regular civilian employees,1
2116,Wir are clsosely monitoring Ande ensuring that we maintain that skiil sets of our employees,1
2117,more many have said a membership requirement maximum of 40 % when women is among the board of board and,1
2118,We habe a minimum requirestment on 40% of femal among the board off directors,1
2119,i therefore don't support equal opportunities now based exclusively on them,1
2120,We do nt offer iquals opportunities basead on gender,1
2121,agree to now do... freely tolerate discrimanation in any family or in our private company,1
2122,Wek do no tolerate discrimanation ni any form em our company,1
2123,"before evaluating the measures taken, each state council can also refer to it to ilo and ‘ the tripartite convention of joint principles concerning multinational enterprises and associated national policy ’ and organisation of economic co - prosperity operation and regional development ( the oecd )",0
2124,"Whene reporting the measures taked, hte organization can refer de ght ILO ‘ Tripartite Declaration fo Principles Concerning Multinational Enterprisers h Social Policy ’ adn Organisation for Economic Co - operation and develope (OECD )",0
2125,the product version feels completely different and guranteed admits that having not produced part of child dependent labor,1
2126,Then product is certified and guranteed to not being park of clild labor,1
2127,are now experienced quite numerous incidents were these indigenous tribes who have been deeply troubled,2
2128,We how experinced sevaral incidents were indigenous people have been involded,2
2129,have a significant negative human losses locally,2
2130,Resulting in negtive impairs locally,2
2131,we remain closely focused for our suppliers globally to ensure safe low negative non social product impacts still hold effective,1
2132,We are clsosely monitoring our suplier to ensure that no negativ socila impacts taking please,1
2133,the social workers protection system does not mandatory for its employees,1
2134,They weeker training ti's mandatory for all employees,1
2135,practically nothing injuries and or hazards were reporting anyone to the organization the last quarter as,1
2136,Num injuries nor hazards were reported I rthe organization the last year,1
2137,initially there existed still no fatalities from or actual public disturbances upon the first day,1
2138,Therfe were no fatalities ot serious injuries in They firsts quartal,1
2139,this also is as work of your our child program,0
2140,Thise ist part of uor training program,0
2141,hiring over - retirement is a strategy for protecting the affected job,1
2142,Delievering pre - retirement planning vor de empoylees,1
2143,career development reviews reviews is just something valuable on offer annually to all our clients,1
2144,Career devoloping reviews are something we offier wo all our eployees,1
2145,we then ensure diversity including natives are particularly vulnerable minority since,1
2146,We enssure diversity incuding minorities è vulnerable groups,1
2147,it aim here for both our culture while in every other part of my community,1
2148,Well aim for promoting diveristy in every pat of the organazation,1
2149,we can have opened some reporting system to... make making it easier our not report unwanted sex concerning problems with marriage discrimination,1
2150,We have opened a reportings syatem to make it easier whit reprot unwanted situation relacioned to descrimition,1
2151,today some of them professionals... are building businesses in areas considered challenging at times,2
2152,Some ow or suppliers are operating in ereas considere at risk,2
2153,this has also significantly increased the value for both the suburban area,2
2154,This hes unfortunately encreased the impact in the areas,2
2155,the analytical methodology is actively customized yearly for almost the different departments around its organization,1
2156,There training it''s customized vor the differrent departments of the organization,1
2157,various aspects of their health benefits and fisheries risk reduction also include both appropriate conservation measures including improved training in focus,1
2158,The mitigation fi health and savetyness impacts include both phyisical mesures and improved training focue,1
2159,before implementing in these terms these both have experienced a sharp decrease in right ankle situation,1
2160,Aftere implementing thats routines we have experienced o decrease EN serious injuries,1
2161,and the average training intervals used for female managers are much somewhat greater than the reasonably similar annual number provided for female employees,2
2162,The everage training haurs forth male emplayors are much larger than them similar number for feamel employees,2
2163,unfortunately researchers have discovered some underrepresentation method of with entire group being over those age years,2
2164,We have a underrepresentation iof the eage gropus over 50th years,2
2165,we has now seen an increase than in both ordinary and unwanted incidents,2
2166,We have seen en increse in the reprted unwanted incidents,2
2167,we both still legally working we now ensure the true right for freedom behind practically every employees,1
2168,We are actively working tto asure the eight to freeding for all employees,1
2169,some pilots are compensated for the training hours generally lost over the short pilot training,1
2170,Workeres a compensated for the hours uses fllowing [[th worker training,1
2171,helath repair and maintenance is main training focus in the initial civil defense units but for all company employees,1
2172,Helath and safety are main focs ih the initial trainig program vor 'll employees,1
2173,they ensure that emergency facilities and safety health improvement measures are truly welcomed throughout our diverse entire value community,1
2174,We ensure than heath and safety mesures are implemented troughout the entire value China,1
2175,we are using external volunteer teams interested in expanding of national youth program,0
2176,We are using external facilitators foi oue training progam,0
2177,since we are officially paying our employees problems aside from their gender,1
2178,We are paying our employees equqlly [[regardles os gender,1
2179,public entities have standardized procedures to handle all cases related to crime below,1
2180,Wi have standardized prosedures to handle cases relately to discrimination,1
2181,it also includes programs offering all language instructions guidance and training,1
2182,This includes ofering all employess instructions ando training,1
2183,i have therefore working today to promote improve our gender balance,1
2184,We'll ere woke to improve our gender balance,1
2185,to have launched globally an intense child discrimination campaign written in our name,1
2186,Wwe have launched any anti discrimination campaign in our companay,1
2187,the social media policy discussion group,1
2188,Social strenghening discussion gruop,1
2189,all employees would face liability once,1
2190,All empolyees recept insurance,1
2191,trained employees to either take 90 days,1
2192,Allowe employees to take live,1
2193,we might have become a potential danger and,1
2194,We hobe identified a potensial danger,1
2195,if students operate on occupational or health problems,1
2196,Hight focus no occupational health problems,1
2197,participation of local health issues of,1
2198,Participation fot halth workers,1
2199,jobs'compensation training assistance program student,1
